epoch	time used	train_loss	valid rse	valid rae	valid corr
110	 3.87s	1.4315	0.4662	0.2849	0.9213
111	 3.85s	1.4307	0.4535	0.2708	0.9236
112	 3.88s	1.4301	0.4635	0.2801	0.9212
113	 3.86s	1.4293	0.4547	0.2742	0.9230
114	 3.85s	1.4216	0.4620	0.2778	0.9236
115	 3.90s	1.4232	0.4625	0.2788	0.9231
116	 3.86s	1.4279	0.4632	0.2786	0.9221
117	 3.88s	1.4229	0.4533	0.2746	0.9225
118	 3.87s	1.4266	0.4538	0.2734	0.9229
119	 3.87s	1.4293	0.4589	0.2770	0.9218
120	 3.88s	1.4287	0.4509	0.2718	0.9233
121	 3.85s	1.4251	0.4658	0.2828	0.9208
122	 3.90s	1.4205	0.4596	0.2773	0.9222
123	 3.87s	1.4215	0.4581	0.2765	0.9214
124	 3.87s	1.4232	0.4644	0.2777	0.9221
125	 3.84s	1.4221	0.4604	0.2783	0.9219
126	 3.90s	1.4147	0.4584	0.2762	0.9225
127	 3.86s	1.4122	0.4540	0.2730	0.9233
128	 3.87s	1.4192	0.4480	0.2728	0.9224
129	 3.87s	1.4234	0.4598	0.2783	0.9216
130	 3.87s	1.4154	0.4513	0.2705	0.9231
131	 3.85s	1.4144	0.4563	0.2751	0.9219
132	 3.87s	1.4160	0.4539	0.2711	0.9230
133	 3.87s	1.4295	0.4536	0.2728	0.9224
134	 3.86s	1.4141	0.4577	0.2738	0.9214
135	 3.86s	1.4207	0.4613	0.2754	0.9225
136	 3.84s	1.4164	0.4503	0.2713	0.9225
137	 3.89s	1.4183	0.4585	0.2760	0.9225
138	 3.86s	1.4202	0.4579	0.2759	0.9224
139	 3.87s	1.4078	0.4576	0.2774	0.9207
140	 3.87s	1.4241	0.4582	0.2791	0.9209
141	 3.88s	1.4144	0.4535	0.2763	0.9224
142	 3.86s	1.4126	0.4605	0.2777	0.9219
143	 3.86s	1.4107	0.4582	0.2763	0.9224
144	 3.85s	1.4099	0.4597	0.2798	0.9207
145	 3.89s	1.4186	0.4564	0.2761	0.9219
146	 3.88s	1.4101	0.4607	0.2764	0.9221
147	 3.84s	1.4155	0.4536	0.2733	0.9221
148	 3.91s	1.4096	0.4564	0.2753	0.9220
149	 3.87s	1.4110	0.4564	0.2763	0.9221
150	 3.86s	1.4077	0.4481	0.2721	0.9229
151	 3.83s	1.4113	0.4564	0.2766	0.9214
152	 3.90s	1.4144	0.4560	0.2729	0.9223
153	 3.85s	1.4059	0.4612	0.2767	0.9218
154	 3.87s	1.4056	0.4669	0.2813	0.9200
155	 3.86s	1.4050	0.4603	0.2768	0.9217
156	 3.87s	1.4061	0.4720	0.2902	0.9199
157	 3.88s	1.4051	0.4656	0.2802	0.9219
158	 3.84s	1.4038	0.4633	0.2801	0.9207
159	 3.89s	1.4019	0.4655	0.2831	0.9211
160	 3.86s	1.4007	0.4582	0.2767	0.9217
161	 3.86s	1.4015	0.4570	0.2746	0.9215
162	 3.84s	1.4036	0.4613	0.2794	0.9219
163	 3.89s	1.4053	0.4617	0.2783	0.9223
164	 3.87s	1.4052	0.4719	0.2848	0.9217
165	 3.84s	1.3988	0.4534	0.2732	0.9223
166	 3.85s	1.4049	0.4516	0.2738	0.9216
167	 3.87s	1.4006	0.4700	0.2837	0.9203
168	 3.87s	1.4002	0.4520	0.2741	0.9222
169	 3.85s	1.3998	0.4639	0.2816	0.9201
170	 3.89s	1.4019	0.4666	0.2821	0.9202
171	 3.86s	1.4018	0.4695	0.2836	0.9192
172	 3.85s	1.4066	0.4600	0.2756	0.9223
173	 3.84s	1.4068	0.4553	0.2769	0.9209
