0.9428,0.9084,0.8712,0.9076
0.947,0.9155,0.8863,0.9241
0.9479,0.9188,0.913,0.9257
0.9477,0.9213,0.9177,0.9279
0.9478,0.924,0.9268,0.9283
0.9461,0.9256,0.9365,0.9288
0.9477,0.9268,0.9233,0.93
0.9465,0.9266,0.9289,0.9305
0.9457,0.928,0.931,0.9311
0.9472,0.9284,0.9323,0.9312
0.9467,0.9278,0.9235,0.9307
0.9466,0.9292,0.9377,0.9315
0.9453,0.9293,0.9299,0.931
0.9454,0.9299,0.9363,0.9313
0.9462,0.9304,0.9296,0.9299
0.9461,0.93,0.9427,0.9306
0.9469,0.9299,0.9353,0.9303
0.946,0.9303,0.9323,0.9305
0.9471,0.9302,0.9412,0.9306
0.946,0.9294,0.9451,0.9285
0.9467,0.9303,0.9416,0.9299
0.9468,0.93,0.9351,0.9303
0.9471,0.9297,0.9391,0.9301
0.9471,0.93,0.9401,0.9298
0.9456,0.931,0.9391,0.9298
0.9458,0.9316,0.9444,0.9291
0.9457,0.9311,0.9382,0.9286
0.9463,0.9308,0.9348,0.9286
0.9454,0.9313,0.9401,0.9291
0.9469,0.9316,0.9363,0.9283
0.9462,0.9306,0.9366,0.9269
0.9463,0.9292,0.9373,0.9263
0.9459,0.9292,0.944,0.9274
0.9449,0.9285,0.9443,0.9282
0.9456,0.931,0.9382,0.9284
0.9458,0.9316,0.9387,0.9268
0.9448,0.9311,0.9396,0.9256
0.9439,0.9318,0.9429,0.9256
0.9448,0.9312,0.9392,0.9274
0.9452,0.9309,0.945,0.9274
0.945,0.9303,0.9349,0.9276
0.9454,0.9317,0.9429,0.9276
0.9446,0.9319,0.9362,0.9274
0.9441,0.9301,0.9371,0.9266
0.9443,0.9312,0.9393,0.9269
0.9434,0.93,0.9393,0.9268
0.9438,0.9316,0.9451,0.9264
0.9445,0.932,0.941,0.9271
0.9451,0.9322,0.9405,0.9266
0.9444,0.9319,0.9419,0.927
0.9448,0.9311,0.9374,0.9262
0.9437,0.9317,0.9391,0.926
0.9459,0.9314,0.939,0.9273
0.9447,0.931,0.9387,0.9262
0.9456,0.9311,0.9397,0.9246
0.9452,0.9315,0.9415,0.927
0.9442,0.9318,0.94,0.9259
0.9443,0.9312,0.9419,0.9263
0.9429,0.9318,0.9391,0.9242
0.9447,0.9313,0.9412,0.9261
0.944,0.9312,0.9428,0.9249
0.9439,0.9313,0.9425,0.9257
0.9441,0.9319,0.9426,0.9256
0.9427,0.9314,0.942,0.9256
0.9436,0.9308,0.944,0.9258
0.9435,0.9312,0.9447,0.9245
0.9433,0.9313,0.9407,0.9222
0.9419,0.931,0.9457,0.9243
0.9429,0.9314,0.9435,0.9254
0.9423,0.9321,0.944,0.9236
0.9438,0.9311,0.9439,0.925
0.9418,0.9315,0.9453,0.9242
0.9432,0.9302,0.9427,0.9231
0.9417,0.9308,0.9436,0.9232
0.9422,0.9317,0.9437,0.9235
0.9446,0.9313,0.9424,0.9236
0.941,0.9313,0.9436,0.9244
0.943,0.9306,0.9435,0.9239
0.9428,0.9307,0.9444,0.9253
0.9416,0.9313,0.9438,0.9245
0.9415,0.9302,0.9447,0.9234
0.9405,0.9311,0.9433,0.9247
0.9419,0.9308,0.9445,0.9252
0.9402,0.931,0.9425,0.9237
0.9416,0.9304,0.9425,0.9223
0.9437,0.9308,0.9427,0.925
0.9402,0.9311,0.9433,0.9241
0.9412,0.9298,0.9442,0.9251
0.9421,0.9309,0.9442,0.924
0.9407,0.9305,0.9426,0.9234
0.9404,0.931,0.9416,0.9227
0.9393,0.9316,0.943,0.924
0.9392,0.9308,0.9426,0.923
0.9403,0.9298,0.944,0.9232
0.9413,0.9302,0.9442,0.9229
0.9404,0.9308,0.9442,0.923
0.9391,0.9297,0.9431,0.9237
0.9387,0.9311,0.9434,0.9234
0.9398,0.9297,0.942,0.9226
0.9403,0.9309,0.9435,0.9204
0.94,0.9308,0.9438,0.923
0.94,0.9292,0.9433,0.9234
0.9399,0.9312,0.9423,0.9223
0.9399,0.931,0.9416,0.9235
0.9403,0.9299,0.943,0.9227
0.9407,0.9297,0.9433,0.9221
0.9399,0.9308,0.9421,0.923
0.9398,0.93,0.9454,0.9233
0.9394,0.9299,0.9422,0.9229
0.9392,0.93,0.9436,0.9213
0.9395,0.9289,0.9442,0.9236
0.9392,0.93,0.944,0.9212
0.941,0.9304,0.9418,0.923
0.9392,0.9303,0.94,0.9236
0.9411,0.9299,0.9416,0.9231
0.9404,0.9298,0.9437,0.9221
0.9372,0.929,0.9438,0.9225
0.9384,0.9302,0.9426,0.9229
0.9405,0.93,0.9425,0.9218
0.9403,0.9294,0.9418,0.9233
0.9407,0.93,0.9434,0.9208
0.9387,0.9295,0.9414,0.9222
