epoch	time used	train_loss	valid rse	valid rae	valid corr
110	 0.38s	0.0107	0.0581	0.0523	0.9649
111	 0.35s	0.0111	0.0528	0.0424	0.9648
112	 0.38s	0.0102	0.0554	0.0445	0.9649
113	 0.38s	0.0106	0.0546	0.0453	0.9647
114	 0.38s	0.0102	0.0529	0.0424	0.9651
115	 0.38s	0.0101	0.0530	0.0429	0.9654
116	 0.38s	0.0103	0.0530	0.0448	0.9650
117	 0.38s	0.0101	0.0585	0.0472	0.9653
118	 0.38s	0.0102	0.0560	0.0448	0.9651
119	 0.38s	0.0103	0.0537	0.0434	0.9649
120	 0.39s	0.0103	0.0565	0.0461	0.9646
121	 0.35s	0.0104	0.0541	0.0433	0.9652
122	 0.38s	0.0106	0.0570	0.0456	0.9650
123	 0.38s	0.0107	0.0542	0.0469	0.9650
124	 0.39s	0.0102	0.0529	0.0439	0.9654
125	 0.38s	0.0104	0.0532	0.0430	0.9654
126	 0.38s	0.0103	0.0533	0.0426	0.9652
127	 0.39s	0.0101	0.0537	0.0430	0.9653
128	 0.38s	0.0100	0.0556	0.0450	0.9651
129	 0.39s	0.0100	0.0572	0.0464	0.9654
130	 0.37s	0.0100	0.0560	0.0451	0.9656
131	 0.35s	0.0101	0.0532	0.0440	0.9640
132	 0.37s	0.0100	0.0539	0.0432	0.9656
133	 0.38s	0.0100	0.0540	0.0439	0.9653
134	 0.38s	0.0100	0.0525	0.0429	0.9649
135	 0.37s	0.0102	0.0530	0.0431	0.9656
136	 0.39s	0.0100	0.0520	0.0424	0.9657
137	 0.37s	0.0104	0.0566	0.0455	0.9656
138	 0.38s	0.0102	0.0571	0.0462	0.9655
139	 0.38s	0.0100	0.0521	0.0420	0.9659
140	 0.37s	0.0112	0.0540	0.0433	0.9655
141	 0.35s	0.0101	0.0523	0.0427	0.9649
142	 0.37s	0.0105	0.0526	0.0445	0.9654
143	 0.38s	0.0101	0.0535	0.0431	0.9654
144	 0.37s	0.0103	0.0532	0.0428	0.9655
145	 0.37s	0.0099	0.0537	0.0431	0.9656
146	 0.37s	0.0101	0.0527	0.0449	0.9656
147	 0.37s	0.0103	0.0534	0.0430	0.9655
148	 0.38s	0.0100	0.0588	0.0474	0.9654
149	 0.38s	0.0107	0.0589	0.0482	0.9653
