epoch	time used	train_loss	valid rse	valid rae	valid corr
110	 0.78s	0.0100	0.0582	0.0461	0.9644
111	 0.76s	0.0102	0.0646	0.0521	0.9644
112	 0.79s	0.0103	0.0542	0.0430	0.9645
113	 0.78s	0.0101	0.0556	0.0440	0.9645
114	 0.77s	0.0111	0.0534	0.0434	0.9645
115	 0.79s	0.0102	0.0525	0.0427	0.9646
116	 0.77s	0.0105	0.0523	0.0430	0.9644
117	 0.78s	0.0108	0.0584	0.0462	0.9645
118	 0.79s	0.0106	0.0529	0.0437	0.9646
119	 0.79s	0.0102	0.0557	0.0450	0.9646
120	 0.77s	0.0100	0.0561	0.0442	0.9646
121	 0.75s	0.0106	0.0560	0.0446	0.9645
122	 0.78s	0.0106	0.0554	0.0439	0.9647
123	 0.78s	0.0105	0.0744	0.0623	0.9647
124	 0.78s	0.0106	0.0585	0.0463	0.9647
125	 0.78s	0.0100	0.0581	0.0463	0.9647
126	 0.76s	0.0102	0.0610	0.0481	0.9648
127	 0.78s	0.0102	0.0527	0.0429	0.9648
128	 0.79s	0.0102	0.0552	0.0437	0.9648
129	 0.78s	0.0107	0.0616	0.0492	0.9647
130	 0.79s	0.0103	0.0553	0.0437	0.9648
131	 0.76s	0.0104	0.0563	0.0443	0.9648
132	 0.78s	0.0100	0.0553	0.0440	0.9649
133	 0.78s	0.0102	0.0568	0.0447	0.9648
134	 0.78s	0.0100	0.0530	0.0430	0.9647
135	 0.78s	0.0100	0.0628	0.0500	0.9650
136	 0.78s	0.0105	0.0570	0.0448	0.9649
137	 0.78s	0.0104	0.0556	0.0437	0.9650
138	 0.78s	0.0098	0.0532	0.0425	0.9650
139	 0.77s	0.0101	0.0533	0.0436	0.9648
140	 0.78s	0.0102	0.0560	0.0441	0.9650
141	 0.76s	0.0102	0.0523	0.0434	0.9650
142	 0.78s	0.0101	0.0543	0.0453	0.9651
143	 0.77s	0.0106	0.0642	0.0517	0.9650
144	 0.77s	0.0100	0.0553	0.0439	0.9649
145	 0.77s	0.0099	0.0573	0.0452	0.9651
146	 0.78s	0.0103	0.0536	0.0435	0.9652
147	 0.78s	0.0100	0.0546	0.0435	0.9652
148	 0.77s	0.0100	0.0617	0.0488	0.9652
149	 0.78s	0.0101	0.0543	0.0438	0.9652
150	 0.78s	0.0102	0.0577	0.0457	0.9652
151	 0.75s	0.0102	0.0582	0.0459	0.9652
152	 0.78s	0.0100	0.0528	0.0443	0.9652
153	 0.78s	0.0101	0.0592	0.0465	0.9652
154	 0.77s	0.0101	0.0529	0.0427	0.9652
155	 0.77s	0.0100	0.0611	0.0484	0.9653
156	 0.78s	0.0098	0.0631	0.0505	0.9651
157	 0.78s	0.0098	0.0683	0.0556	0.9654
158	 0.77s	0.0099	0.0570	0.0450	0.9654
159	 0.78s	0.0100	0.0547	0.0433	0.9654
160	 0.77s	0.0099	0.0555	0.0440	0.9653
161	 0.76s	0.0100	0.0607	0.0478	0.9654
162	 0.77s	0.0100	0.0529	0.0433	0.9654
163	 0.77s	0.0099	0.0541	0.0431	0.9652
164	 0.76s	0.0103	0.0606	0.0480	0.9653
165	 0.77s	0.0108	0.0539	0.0448	0.9653
166	 0.77s	0.0107	0.0597	0.0471	0.9653
167	 0.77s	0.0100	0.0531	0.0433	0.9653
168	 0.78s	0.0100	0.0598	0.0474	0.9653
169	 0.78s	0.0099	0.0588	0.0463	0.9654
170	 0.77s	0.0103	0.0619	0.0495	0.9654
171	 0.76s	0.0106	0.0521	0.0441	0.9654
172	 0.76s	0.0104	0.0619	0.0490	0.9654
173	 0.78s	0.0104	0.0522	0.0446	0.9655
174	 0.78s	0.0100	0.0604	0.0483	0.9651
175	 0.77s	0.0101	0.0606	0.0480	0.9652
176	 0.78s	0.0109	0.0560	0.0441	0.9654
177	 0.77s	0.0099	0.0587	0.0469	0.9654
178	 0.77s	0.0102	0.0606	0.0479	0.9653
179	 0.77s	0.0098	0.0572	0.0458	0.9654
180	 0.77s	0.0097	0.0537	0.0444	0.9654
181	 0.76s	0.0105	0.0545	0.0439	0.9654
182	 0.77s	0.0101	0.0563	0.0447	0.9655
183	 0.77s	0.0099	0.0615	0.0497	0.9654
184	 0.76s	0.0098	0.0609	0.0481	0.9654
185	 0.78s	0.0097	0.0546	0.0438	0.9652
186	 0.77s	0.0102	0.0642	0.0508	0.9653
187	 0.78s	0.0098	0.0555	0.0440	0.9654
188	 0.78s	0.0098	0.0546	0.0434	0.9655
189	 0.78s	0.0096	0.0578	0.0468	0.9654
190	 0.77s	0.0098	0.0648	0.0510	0.9654
191	 0.76s	0.0098	0.0616	0.0488	0.9654
192	 0.76s	0.0098	0.0577	0.0457	0.9653
193	 0.78s	0.0098	0.0564	0.0445	0.9656
194	 0.78s	0.0100	0.0605	0.0481	0.9655
195	 0.76s	0.0097	0.0676	0.0554	0.9653
196	 0.76s	0.0108	0.0557	0.0440	0.9656
197	 0.78s	0.0097	0.0564	0.0446	0.9655
198	 0.76s	0.0096	0.0596	0.0470	0.9655
199	 0.78s	0.0098	0.0572	0.0455	0.9656
200	 0.78s	0.0105	0.0611	0.0483	0.9656
