epoch	time used	train_loss	valid rse	valid rae	valid corr
110	 3.77s	0.0086	0.4575	0.2994	0.8727
111	 3.77s	0.0086	0.4594	0.2999	0.8729
112	 3.77s	0.0086	0.4628	0.3049	0.8712
113	 3.76s	0.0086	0.4603	0.2996	0.8725
114	 3.75s	0.0086	0.4589	0.2993	0.8708
115	 3.76s	0.0086	0.4609	0.2999	0.8730
116	 3.77s	0.0086	0.4646	0.3092	0.8725
117	 3.77s	0.0086	0.4533	0.2952	0.8744
118	 3.77s	0.0086	0.4593	0.2974	0.8731
119	 3.77s	0.0086	0.4552	0.2958	0.8751
120	 3.78s	0.0086	0.4587	0.3002	0.8733
121	 3.75s	0.0086	0.4541	0.2960	0.8749
122	 3.77s	0.0085	0.4566	0.2990	0.8739
123	 3.76s	0.0086	0.4667	0.3081	0.8681
124	 3.78s	0.0086	0.4614	0.3011	0.8723
125	 3.79s	0.0085	0.4574	0.2997	0.8747
126	 3.78s	0.0086	0.4588	0.3005	0.8747
127	 3.76s	0.0085	0.4568	0.2963	0.8739
128	 3.77s	0.0085	0.4596	0.2991	0.8728
129	 3.77s	0.0085	0.4572	0.2977	0.8733
130	 3.78s	0.0085	0.4634	0.3025	0.8725
131	 3.75s	0.0085	0.4557	0.2989	0.8747
132	 3.78s	0.0085	0.4626	0.3015	0.8729
133	 3.77s	0.0085	0.4597	0.3022	0.8723
134	 3.77s	0.0085	0.4630	0.3010	0.8718
135	 3.78s	0.0085	0.4680	0.3062	0.8698
136	 3.77s	0.0085	0.4555	0.2966	0.8743
137	 3.78s	0.0085	0.4558	0.2958	0.8745
138	 3.77s	0.0085	0.4616	0.3005	0.8717
139	 3.78s	0.0085	0.4596	0.2970	0.8722
140	 3.77s	0.0085	0.4605	0.2997	0.8730
141	 3.75s	0.0085	0.4548	0.2959	0.8750
142	 3.78s	0.0085	0.4612	0.3016	0.8725
143	 3.75s	0.0085	0.4628	0.3056	0.8736
144	 3.77s	0.0085	0.4662	0.3023	0.8726
145	 3.78s	0.0085	0.4669	0.3054	0.8695
146	 3.78s	0.0085	0.4581	0.2982	0.8738
147	 3.76s	0.0085	0.4593	0.3024	0.8739
148	 3.77s	0.0085	0.4590	0.2984	0.8740
149	 3.76s	0.0085	0.4647	0.3020	0.8705
150	 3.76s	0.0085	0.4576	0.2958	0.8737
151	 3.74s	0.0085	0.4598	0.2981	0.8735
152	 3.76s	0.0085	0.4565	0.2987	0.8733
153	 3.77s	0.0085	0.4602	0.3013	0.8711
154	 3.76s	0.0085	0.4571	0.3010	0.8734
155	 3.76s	0.0084	0.4557	0.2989	0.8740
156	 3.76s	0.0084	0.4599	0.3008	0.8728
157	 3.76s	0.0084	0.4579	0.2991	0.8737
158	 3.77s	0.0084	0.4550	0.2960	0.8745
159	 3.77s	0.0084	0.4675	0.3044	0.8701
160	 3.77s	0.0084	0.4584	0.2983	0.8732
161	 3.75s	0.0084	0.4603	0.3020	0.8742
162	 3.77s	0.0084	0.4618	0.2995	0.8713
163	 3.77s	0.0084	0.4663	0.3021	0.8709
164	 3.77s	0.0084	0.4635	0.2987	0.8725
165	 3.77s	0.0084	0.4575	0.2994	0.8736
166	 3.76s	0.0084	0.4583	0.3001	0.8748
167	 3.77s	0.0084	0.4605	0.2992	0.8730
168	 3.75s	0.0084	0.4605	0.3008	0.8731
169	 3.76s	0.0084	0.4593	0.2986	0.8731
170	 3.76s	0.0084	0.4557	0.2969	0.8740
171	 3.74s	0.0084	0.4547	0.2964	0.8741
172	 3.76s	0.0084	0.4588	0.2986	0.8739
173	 3.77s	0.0084	0.4666	0.3030	0.8707
174	 3.76s	0.0084	0.4557	0.2983	0.8743
175	 3.76s	0.0084	0.4592	0.2972	0.8719
176	 3.74s	0.0084	0.4626	0.3037	0.8733
177	 3.76s	0.0084	0.4622	0.3010	0.8733
178	 3.76s	0.0084	0.4555	0.2984	0.8735
179	 3.76s	0.0084	0.4589	0.2988	0.8731
180	 3.76s	0.0084	0.4587	0.3002	0.8736
181	 3.75s	0.0084	0.4566	0.2968	0.8738
182	 3.75s	0.0084	0.4645	0.3072	0.8710
183	 3.76s	0.0084	0.4613	0.3019	0.8724
184	 3.78s	0.0084	0.4625	0.3047	0.8718
185	 3.76s	0.0083	0.4685	0.3047	0.8701
186	 3.76s	0.0084	0.4667	0.3034	0.8710
187	 3.75s	0.0084	0.4595	0.3034	0.8720
188	 3.77s	0.0084	0.4596	0.3009	0.8723
189	 3.77s	0.0084	0.4635	0.2994	0.8707
190	 3.76s	0.0084	0.4619	0.3021	0.8729
191	 3.76s	0.0084	0.4618	0.3010	0.8720
192	 3.77s	0.0084	0.4604	0.2992	0.8729
193	 3.76s	0.0083	0.4608	0.3016	0.8722
194	 3.76s	0.0083	0.4610	0.3021	0.8725
195	 3.76s	0.0083	0.4609	0.3007	0.8736
196	 3.76s	0.0083	0.4615	0.3024	0.8724
197	 3.76s	0.0083	0.4578	0.2977	0.8730
198	 3.77s	0.0083	0.4665	0.3021	0.8703
199	 3.77s	0.0083	0.4657	0.3041	0.8698
200	 3.77s	0.0083	0.4623	0.3021	0.8709
