epoch	time used	train_loss	valid rse	valid rae	valid corr
110	 3.36s	0.0091	0.4721	0.3073	0.8709
111	 3.33s	0.0091	0.4650	0.3007	0.8727
112	 3.37s	0.0091	0.4654	0.3012	0.8712
113	 3.36s	0.0091	0.4632	0.2971	0.8735
114	 3.35s	0.0091	0.4657	0.3005	0.8729
115	 3.38s	0.0091	0.4643	0.3002	0.8727
116	 3.36s	0.0091	0.4612	0.2968	0.8741
117	 3.37s	0.0090	0.4686	0.3046	0.8732
118	 3.37s	0.0091	0.4658	0.2997	0.8734
119	 3.36s	0.0091	0.4736	0.3083	0.8696
120	 3.35s	0.0091	0.4657	0.3008	0.8734
121	 3.33s	0.0090	0.4728	0.3084	0.8718
122	 3.35s	0.0091	0.4585	0.2958	0.8746
123	 3.35s	0.0091	0.4628	0.2987	0.8732
124	 3.34s	0.0091	0.4703	0.3083	0.8703
125	 3.37s	0.0090	0.4633	0.2989	0.8728
126	 3.35s	0.0091	0.4636	0.2992	0.8735
127	 3.36s	0.0091	0.4740	0.3102	0.8724
128	 3.37s	0.0090	0.4696	0.3060	0.8728
129	 3.34s	0.0090	0.4727	0.3087	0.8722
130	 3.36s	0.0090	0.4730	0.3064	0.8716
131	 3.32s	0.0090	0.4610	0.2972	0.8740
132	 3.38s	0.0090	0.4684	0.3038	0.8733
133	 3.36s	0.0090	0.4675	0.3060	0.8716
134	 3.34s	0.0090	0.4690	0.3055	0.8716
135	 3.36s	0.0090	0.4668	0.3041	0.8726
136	 3.36s	0.0090	0.4672	0.3033	0.8725
137	 3.35s	0.0090	0.4670	0.3028	0.8729
138	 3.36s	0.0090	0.4655	0.2987	0.8731
139	 3.36s	0.0090	0.4695	0.3043	0.8729
140	 3.36s	0.0090	0.4616	0.2973	0.8728
141	 3.34s	0.0090	0.4621	0.2987	0.8723
142	 3.35s	0.0090	0.4678	0.3025	0.8730
143	 3.35s	0.0090	0.4625	0.2977	0.8733
144	 3.35s	0.0090	0.4663	0.3058	0.8725
145	 3.34s	0.0090	0.4667	0.3027	0.8728
146	 3.35s	0.0090	0.4641	0.2994	0.8735
147	 3.36s	0.0090	0.4667	0.3015	0.8717
148	 3.37s	0.0090	0.4686	0.3051	0.8716
149	 3.35s	0.0090	0.4632	0.2981	0.8737
150	 3.36s	0.0090	0.4657	0.3016	0.8722
151	 3.33s	0.0090	0.4670	0.3019	0.8732
152	 3.34s	0.0090	0.4613	0.2990	0.8731
153	 3.34s	0.0090	0.4663	0.3010	0.8723
